lemma:id	cchead:id	that	sentence
suggest:6	approximate:20	1	 Of interest here, studies suggest that, despite the difficulties in acquiring L2 grammar, adult learners can approximate native-like levels of use and neurocognitive processing [12]–[15].

note:2	consider:7	1	 (Note that we do not consider case studies, purely observational data, or research on L2s acquired by children; for a comprehensive review, see [16]).

suggest:14	appear:18	1	 Although attrition may take place within the first few years, some studies suggest that it then appears to level off, with no further losses occurring [17], [18].

feel:16	need:18	0	 Get feedback from researchers on possible subjects, based on the knowledge and skills they feel librarians need;

make sure:33	stay:45	1	 With these in hand, we will design the curriculum of clinics, based on the method of 'constructive alignment' (Biggs et al., 2011), to make sure that the intended learning objectives and the teaching/learning activities stay aligned.

write:3	have:7	0	 His mother wrote, "He has no indisposition that I know of but love, desperate love, the worst of all maladies in my opinion. In short, the boy is distractedly in love with Miss Chaworth." [6]

write:7	associate:16	0	 About his "protégé" he wrote, "He has been my almost constant associate since October, 1805, when I entered Trinity College. His voice first attracted my attention, his countenance fixed it, and his manners attached me to him for ever."

think:5	spend:7	0	 You're so stupid thinking I spent the night.

think:2	spend:4	0	 She thinks I spent the night in my jeans —

know:29	deserve:31	0	 If I did spend the night, and I was trying to lie, I would give up, cause then I wouldn't care, cause I knew I deserved it.

think:2	have:6	0	 I thought Melanie didn't have a phone.

tell:17	lie:26	0	 You know Kendra, y- — I don't know how many times I gotta tell you, once you lie, once you lie —

tell:10	spend:15	0	 Well you woke me up last night, to tell me Kim wasn't spending the night.

tell:17	go:22	1	 I don't know why you couldn't wake me up in the morning, to tell me that you were going.

think:2	take:11	0	 I think if I spent the night I would've took a shower.

think:11	uniform:18	0	 See if I spent the night mom, you'd think I'd still be in my uniform?

know:2	be:4	0	 I know she's —

say:2	determine:6	0	 They said, they already determined it was in like eighteen different states.

determine:6	state:13	0	 They said, they already determined it was in like eighteen different states.

think:1	find:4	0	 Think we can find a hot dog?

see:1	have:4	0	 See if I have any cards.

think:8	take:20	0	 You know what I think, I think the first time that it does the card mode, it takes a long time.

think:2	stop:5	0	 I think I'll stop there.

be sure:15	warm:20	0	 It was spring, the barren time in March when you can not be sure if it is really warmer, but you are so desperate for change that you tell yourself the mud at the edge of the sidewalk is different from winter mud and you are sure that the smell of wet soil has suddenly a bit of the scent of summer rains, of grass and drowned earthworms.

tell:31	different:42	0	 It was spring, the barren time in March when you can not be sure if it is really warmer, but you are so desperate for change that you tell yourself the mud at the edge of the sidewalk is different from winter mud and you are sure that the smell of wet soil has suddenly a bit of the scent of summer rains, of grass and drowned earthworms.

be sure:49	have:56	1	 It was spring, the barren time in March when you can not be sure if it is really warmer, but you are so desperate for change that you tell yourself the mud at the edge of the sidewalk is different from winter mud and you are sure that the smell of wet soil has suddenly a bit of the scent of summer rains, of grass and drowned earthworms.

know:21	flatter:23	0	 I was wearing a yellow linen dress which my mother had picked out and which I therefore disliked although I knew it flattered me.

wish:2	stop:6	0	 I wished the rain would stop.

wish:2	turn:5	0	 I wished he would turn his head.

hear:21	shout:24	0	 We scanned the deep blue valley for the first sign of the company, but before we saw them we heard the children shouting: “A yellow man!”

think:4	mean:7	0	 At first I thought the children meant my father, whose golden skin, the color of the night-monkey’s pelt, was a rarity in the islands; but certainly the children of Tyom were familiar with my father, and would never have greeted a council-member with such ill-mannered yells.

learn:4	write:8	1	 I have since learned that that doctor wrote a well-received treatise, On the Medicinal Properties of the Juice of the Young Coconut, and died a respected man in his native city of Deinivel; but at the time I felt certain he had returned with his sack of tree-cuttings.

say:7	be:4	0	 “There they are,” said Pavit, the head house-servant, in a strained voice.

